,Unnamed: 0,Brand,Title,Sku,Model,Url,Categories
0,0,Whirlpool,24.5-cu ft 4-Door 36-in French Door Refrigerator with Exterior Ice and Water Dispenser - Fingerprint Resistant Stainless Steel,754716,WRX735SDHZ,https://www.lowes.com/pd/Whirlpool-24-5-cu-ft-4-Door-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1000257811,['French Door Refrigerators']
1,1,Hisense,26.6-cu ft French Door Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,2510294,HRF266N6CSE,https://www.lowes.com/pd/Hisense-26-6-cu-ft-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1003213836,['French Door Refrigerators']
2,2,Frigidaire,26.8-cu ft French Door Refrigerator with Ice Maker (EasyCare Stainless Steel) ENERGY STAR,852874,LFHB2751TF,https://www.lowes.com/pd/Frigidaire-26-8-cu-ft-French-Door-Refrigerator-with-Ice-Maker-EasyCare-Stainless-Steel-ENERGY-STAR/1000225693,['French Door Refrigerators']
3,3,Whirlpool,25.2-cu ft 3-Door 36-in French Door Refrigerator with Ice Maker and Interior Water Dispenser - Fingerprint Resistant Stainless Steel,753010,WRF535SWHZ,https://www.lowes.com/pd/Whirlpool-25-2-cu-ft-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1000228559,['French Door Refrigerators']
4,4,LG,21.8-cu ft French Door Refrigerator with Ice Maker (Stainless Steel) ENERGY STAR,828917,LFDS22520S,https://www.lowes.com/pd/LG-21-8-cu-ft-French-Door-Refrigerator-with-Ice-Maker-Stainless-Steel-ENERGY-STAR/1000551617,['French Door Refrigerators']
5,5,Samsung,Family Hub Family Hub 27.7-cu ft 4-Door French Door Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,1392372,RF28R7551SR,https://www.lowes.com/pd/Samsung-Family-Hub-Family-Hub-27-7-cu-ft-4-Door-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1000948432,['French Door Refrigerators']
6,6,Whirlpool,24.7-cu ft 3-Door Counter-Depth 36-in French Door Refrigerator with Exterior Ice and Water Dispenser - Fingerprint Resistant Stainless Steel,714644,WRF555SDFZ,https://www.lowes.com/pd/Whirlpool-24-7-cu-ft-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1000092933,['French Door Refrigerators']
7,7,Whirlpool,26.2-cu ft 4-Door 36-in French Door Refrigerator with Exterior Drawer - Fingerprint Resistant Stainless Steel,916724,WRX986SIHZ,https://www.lowes.com/pd/Whirlpool-26-2-cu-ft-4-Door-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel/1000318967,['French Door Refrigerators']
8,8,Samsung,17.5-cu ft Counter-depth French Door Refrigerator with Ice Maker (Stainless Steel),719466,RF18HFENBSR,https://www.lowes.com/pd/Samsung-17-5-cu-ft-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Stainless-Steel/1000005992,['French Door Refrigerators']
9,9,Frigidaire,Gallery 26.8-cu ft French Door Refrigerator with Dual Ice Maker (Smudge-Proof Stainless Steel) ENERGY STAR,852876,LGHB2869TF,https://www.lowes.com/pd/Frigidaire-Gallery-26-8-cu-ft-French-Door-Refrigerator-with-Dual-Ice-Maker-Smudge-Proof-Stainless-Steel-ENERGY-STAR/1000289717,['French Door Refrigerators']
10,10,KitchenAid,20-cu ft 3-Door Counter-Depth 36-in French Door Refrigerator with Interior Dispense - Stainless Steel,735649,KRFC300ESS,https://www.lowes.com/pd/KitchenAid-20-cu-ft-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Stainless-Steel-ENERGY-STAR/50383140,['French Door Refrigerators']
11,11,Frigidaire,26.8-cu ft French Door Refrigerator with Ice Maker (Black Stainless Steel) ENERGY STAR,852875,FFHB2750TD,https://www.lowes.com/pd/Frigidaire-26-8-cu-ft-French-Door-Refrigerator-with-Ice-Maker-Black-Stainless-Steel-ENERGY-STAR/1000262637,['French Door Refrigerators']
12,12,Frigidaire ,22.4-cu ft Counter-depth French Door Refrigerator with Ice Maker (EasyCare Stainless Steel) ENERGY STAR,852910,LFHG2251TF,https://www.lowes.com/pd/Frigidaire-22-4-cu-ft-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-EasyCare-Stainless-Steel-ENERGY-STAR/1000240811,['French Door Refrigerators']
13,13,Samsung ,221 21.6-cu ft French Door Refrigerator with Ice Maker (Stainless Steel),434627,RF220NCTASR,https://www.lowes.com/pd/Samsung-221-21-6-cu-ft-French-Door-Refrigerator-with-Ice-Maker-Stainless-Steel/1000200399,['French Door Refrigerators']
14,14,Whirlpool ,26.8-cu ft 3-Door 36-in French Door Refrigerator with Exterior Ice - Water Dispenser and Dual Icemakers - Fingerprint Resistant Stainless Steel,1030903,WRF767SDHZ,https://www.lowes.com/pd/Whirlpool-26-8-cu-ft-French-Door-Refrigerator-with-Dual-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1000494367,['French Door Refrigerators']
15,15,Samsung ,28-cu ft French Door Refrigerator with Dual Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,1341474,RF28R6241SR,https://www.lowes.com/pd/Samsung-28-cu-ft-French-Door-Refrigerator-with-Dual-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1000969438,['French Door Refrigerators']
16,16,Samsung ,22.6-cu ft 4-Door Counter-depth French Door Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,1295701,RF24R7201SR,https://www.lowes.com/pd/Samsung-22-6-cu-ft-4-Door-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1000854674,['French Door Refrigerators']
17,17,LG ,InstaView Smart Wi-Fi Enabled 26-cu ft French Door Refrigerator with Dual Ice Maker and Door within Door (Fingerprint-Resistant Stainless Steel) ENERGY STAR,1110030,LFXS26596S,https://www.lowes.com/pd/LG-InstaView-Smart-Wi-Fi-Enabled-26-cu-ft-French-Door-Refrigerator-with-Dual-Ice-Maker-and-Door-within-Door-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1000507575,['French Door Refrigerators']
18,18,Samsung ,28-cu ft 4-Door French Door Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,1295698,RF28R7201SR,https://www.lowes.com/pd/Samsung-28-cu-ft-4-Door-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1000863994,['French Door Refrigerators']
19,19,Frigidaire ,Gallery 21.7-cu ft Counter-depth French Door Refrigerator with Dual Ice Maker (Smudge-Proof Stainless Steel) ENERGY STAR,852878,LGHD2369TF,https://www.lowes.com/pd/Frigidaire-Gallery-21-7-cu-ft-Counter-depth-French-Door-Refrigerator-with-Dual-Ice-Maker-Smudge-Proof-Stainless-Steel-ENERGY-STAR/1000289721,['French Door Refrigerators']
20,20,LG ,InstaView 27-cu ft French Door Refrigerator with Ice Maker and Door within Door (Fingerprint-Resistant Stainless Steel) ENERGY STAR,1341469,LFCS27596S,https://www.lowes.com/pd/LG-InstaView-27-cu-ft-French-Door-Refrigerator-with-Ice-Maker-and-Door-within-Door-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1000938916,['French Door Refrigerators']
21,21,Samsung ,28.2-cu ft French Door Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,2516857,RF28T5001SR,https://www.lowes.com/pd/Samsung-19-6-cu-ft-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1003081538,['French Door Refrigerators']
22,22,Samsung ,FlexZone 22.5-cu ft 4-Door Counter-depth French Door Refrigerator with Ice Maker (Stainless Steel) ENERGY STAR,488377,RF23J9011SR,https://www.lowes.com/pd/Samsung-FlexZone-22-5-cu-ft-4-Door-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Stainless-Steel-ENERGY-STAR/50373900,['French Door Refrigerators']
23,23,Bosch ,800 21-cu ft 4-Door Counter-depth French Door Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,1424449,B36CL80ENS,https://www.lowes.com/pd/Bosch-800-21-cu-ft-4-Door-Counter-depth-French-Door-Refr/1001330226,['French Door Refrigerators']
24,24,GE ,27.8-cu ft French Door Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,1689317,GFE28GYNFS,https://www.lowes.com/pd/GE-27-8-cu-ft-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1002632360,['French Door Refrigerators']
25,25,GE ,25.6-cu ft French Door Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,1689316,GFE26JYMFS,https://www.lowes.com/pd/GE-25-6-cu-ft-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1002647504,['French Door Refrigerators']
26,26,Samsung ,27-cu ft French Door Refrigerator with Dual Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,1697395,RF27T5241SR,https://www.lowes.com/pd/Samsung-27-cu-ft-French-Door-Refrigerator-with-Dual-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1002683282,['French Door Refrigerators']
27,27,LG ,InstaView 22.6-cu ft Counter-Depth French Door Refrigerator with Ice Maker and Door within Door (Fingerprint-Resistant Stainless Steel) ENERGY STAR,887474,LFCC23596S,https://www.lowes.com/pd/LG-InstaView-22-6-cu-ft-Counter-Depth-French-Door-Refrigerator-with-Ice-Maker-and-Door-within-Door-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1002194900,['French Door Refrigerators']
28,28,Samsung ,Family Hub Family Hub 25.1-cu ft French Door Refrigerator with Ice Maker (Stainless Steel) ENERGY STAR,1966864,RF262BEAESR,https://www.lowes.com/pd/Samsung-Family-Hub-Family-Hub-24-2-cu-ft-French-Door-Refrigerator-with-Ice-Maker-Stainless-Steel-ENERGY-STAR/1002692824,['French Door Refrigerators']
29,29,Samsung ,Food Showcase 28-cu ft 4-Door French Door Refrigerator with Ice Maker and Door within Door (Fingerprint-Resistant Black Stainless Steel) ENERGY STAR,1295703,RF28R7351SG,https://www.lowes.com/pd/Samsung-Food-Showcase-28-cu-ft-4-Door-French-Door-Refrigerator-with-Ice-Maker-and-Door-within-Door-Fingerprint-Resistant-Black-Stainless-Steel-ENERGY-STAR/1000854746,['French Door Refrigerators']
30,30,LG ,InstaView Smart Wi-Fi Enabled 27.6-cu ft 4-Door French Door Refrigerator with Ice Maker and Door within Door (Fingerprint-Resistant Stainless Steel) ENERGY STAR,1296070,LMXS28596S,https://www.lowes.com/pd/LG-InstaView-Smart-Wi-Fi-Enabled-27-6-cu-ft-4-Door-French-Door-Refrigerator-with-Ice-Maker-and-Door-within-Door-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1000852986,['French Door Refrigerators']
31,31,GE ,27.8-cu ft French Door Refrigerator with Ice Maker and Door within Door (Fingerprint-Resistant Stainless Steel),1418793,GFD28GYNFS,https://www.lowes.com/pd/GE-27-8-cu-ft-French-Door-Refrigerator-with-Ice-Maker-and-Door-within-Door-Fingerprint-Resistant-Stainless-Steel/1000940212,['French Door Refrigerators']
32,32,Samsung ,Family Hub Family Hub 26.5-cu ft French Door Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,1931165,RF27T5501SR,https://www.lowes.com/pd/Samsung-Family-Hub-Family-Hub-26-5-cu-ft-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1002692794,['French Door Refrigerators']
33,33,KitchenAid ,23.8-cu ft 3-Door Counter-Depth 36-in French Door Refrigerator - Stainless Steel with PrintShield Finish,788145,KRFC704FPS,https://www.lowes.com/pd/KitchenAid-23-8-cu-ft-Counter-Depth-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel/1000384977,['French Door Refrigerators']
34,34,LG ,SIGNATURE InstaView 22.8-cu ft 4-Door Counter-Depth French Door Refrigerator with Ice Maker and Door within Door (Fingerprint-Resistant Textured Steel) ENERGY STAR,2501309,URNTC2306N,https://www.lowes.com/pd/LG-SIGNATURE-InstaView-14-2-cu-ft-4-Door-French-Door-Refrigerator-with-Ice-Maker-with-and-Door-within-Door-Textured-Steel-ENERGY-STAR/1002860756,['French Door Refrigerators']
35,35,LG ,Craft Ice Smart Wi-Fi Enabled 22.5-cu ft 4-Door Counter-Depth French Door Refrigerator with Dual Ice Maker and Door within Door (Fingerprint-Resistant Satinless Steel) ENERGY STAR,1697392,LRMDC2306S,https://www.lowes.com/pd/LG-Craft-Ice-Smart-Wi-Fi-Enabled-22-5-cu-ft-4-Door-Counter-Depth-French-Door-Refrigerator-with-Dual-Ice-Maker-and-Door-within-Door-Fingerprint-Resistant-Satinless-Steel-ENERGY-STAR/1002648818,['French Door Refrigerators']
36,36,Whirlpool,24.5-cu ft 4-Door French Door Refrigerator with Ice Maker (Fingerprint-Resistant Black Stainless) ENERGY STAR,490610,WRX735SDHV,https://www.lowes.com/pd/Whirlpool-24-5-cu-ft-4-Door-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Black-Stainless-ENERGY-STAR/1000233419,['French Door Refrigerators']
37,37,GE,24.8-cu ft French Door Refrigerator with Ice Maker (Stainless Steel) ENERGY STAR,1659667,GNE25JSKSS,https://www.lowes.com/pd/GE-24-8-cu-ft-French-Door-Refrigerator-with-Ice-Maker-Stainless-Steel-ENERGY-STAR/1001381630,['French Door Refrigerators']
38,38,LG,Smart Wi-Fi Enabled 26.2-cu ft French Door Refrigerator with Dual Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,1110028,LFXS26973S,https://www.lowes.com/pd/LG-Smart-Wi-Fi-Enabled-26-2-cu-ft-French-Door-Refrigerator-with-Dual-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1000571911,['French Door Refrigerators']
39,39,Whirlpool,24.7-cu ft 3-Door 36-in French Door Refrigerator with Exterior Ice and Water Dispenser - Black Stainless,727504,WRF555SDHV,https://www.lowes.com/pd/Whirlpool-24-7-cu-ft-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Black-Stainless-ENERGY-STAR/1000233421,['French Door Refrigerators']
40,40,Samsung,27-cu ft French Door Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,1697397,RF27T5201SR,https://www.lowes.com/pd/Samsung-27-cu-ft-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1002683366,['French Door Refrigerators']
41,41,Samsung,Food Showcase 28-cu ft 4-Door French Door Refrigerator with Ice Maker and Door within Door (Fingerprint-Resistant Stainless Steel) ENERGY STAR,1295702,RF28R7351SR,https://www.lowes.com/pd/Samsung-Food-Showcase-28-cu-ft-4-Door-French-Door-Refrigerator-with-Ice-Maker-and-Door-within-Door-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1000854710,['French Door Refrigerators']
42,42,Whirlpool,19.4-cu ft 4-Door Counter-Depth French Door Refrigerator with Ice Maker (Fingerprint-Resistant Metallic Steel) ENERGY STAR,1916616,WRQA59CNKZ,https://www.lowes.com/pd/Whirlpool-19-4-cu-ft-4-Door-Counter-Depth-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Metallic-Steel-ENERGY-STAR/1003095600,['French Door Refrigerators']
43,43,LG,InstaView Smart Wi-Fi Enabled 26-cu ft French Door Refrigerator with Dual Ice Maker and Door within Door (Fingerprint-Resistant Black Stainless Steel) ENERGY STAR,1296190,LFXS26596D,https://www.lowes.com/pd/LG-InstaView-Smart-Wi-Fi-Enabled-26-cu-ft-French-Door-Refrigerator-with-Dual-Ice-Maker-and-Door-within-Door-Fingerprint-Resistant-Black-Stainless-Steel-ENERGY-STAR/1000853132,['French Door Refrigerators']
44,44,Bosch,800 25-cu ft French Door Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,962006,B26FT50SNS,https://www.lowes.com/pd/Bosch-800-25-cu-ft-French-Door-Refrigerator-with-Ice-Mak/1000342127,['French Door Refrigerators']
45,45,Samsung,22.6-cu ft Counter-depth French Door Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,1350876,RF23R6201SR,https://www.lowes.com/pd/Samsung-22-6-cu-ft-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1000969444,['French Door Refrigerators']
46,46,Samsung,Family Hub Family Hub 27.7-cu ft French Door Refrigerator with Ice Maker (Fingerprint-Resistant Black Stainless Steel) ENERGY STAR,2545877,RF28T5F01SG,https://www.lowes.com/pd/Samsung-Family-Hub-Family-Hub-19-1-cu-ft-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Black-Stainless-Steel-ENERGY-STAR/1003051808,['French Door Refrigerators']
47,47,LG,26.9-cu ft 4-Door French Door Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,1697388,LMWS27626S,https://www.lowes.com/pd/LG-26-9-cu-ft-4-Door-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1002502776,['French Door Refrigerators']
48,48,LG ,Craft Ice Smart Wi-Fi Enabled 29.5-cu ft 4-Door French Door Refrigerator with Dual Ice Maker and Door within Door (Fingerprint-Resistant Stainless Steel) ENERGY STAR,2610279,LRMVS3006S,https://www.lowes.com/pd/LG-Craft-Ice-Smart-Wi-Fi-Enabled-17-cu-ft-4-Door-French-Door-Refrigerator-with-Ice-Maker-with-and-Door-within-Door-Printproof-Stainless-Steel-ENERGY-STAR/1002951124,['French Door Refrigerators']
49,49,LG ,Craft IceSmart Wi-Fi Enabled 29.7-cu ft French Door Refrigerator with Dual Ice Maker and Door within Door (Fingerprint-Resistant Black Stainless Steel) ENERGY STAR,1418792,LRFVS3006D,https://www.lowes.com/pd/LG-Craft-IceSmart-Wi-Fi-Enabled-29-7-cu-ft-French-Door-Refrigerator-with-Dual-Ice-Maker-and-Door-within-Door-Fingerprint-Resistant-Black-Stainless-Steel-ENERGY-STAR/1001123430,['French Door Refrigerators']
50,50,KitchenAid ,"25.8-cu ft 5-Door 36-in French Door Refrigerator, Platinum Interior Design - Stainless Steel with PrintShield Finish",484285,KRMF706ESS,https://www.lowes.com/pd/KitchenAid-25-8-cu-ft-5-Door-French-Door-Refrigerator-with-Ice-Maker-Stainless-Steel/50413062,['French Door Refrigerators']
51,51,Cafe ,Smart 27.8-cu ft 4-Door French Door Refrigerator with Ice Maker (Fingerprint-Resistant Matte White) ENERGY STAR,1596840,CVE28DP4NW2,https://www.lowes.com/pd/Cafe-Smart-27-8-cu-ft-4-Door-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Matte-White-ENERGY-STAR/1001167442,['French Door Refrigerators']
52,52,LG ,Craft Ice Smart Wi-Fi Enabled 23.5-cu ft Counter-Depth French Door Refrigerator with Dual Ice Maker and Door within Door (Fingerprint-Resistant Stainless Steel) ENERGY STAR,1597279,LRFVC2406S,https://www.lowes.com/pd/LG-Craft-Ice-Smart-Wi-Fi-Enabled-23-5-cu-ft-Counter-Depth-French-Door-Refrigerator-with-Dual-Ice-Maker-and-Door-within-Door-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1001157718,['French Door Refrigerators']
53,53,Samsung ,Family Hub Family Hub 22-cu ft 4-Door Counter-depth French Door Refrigerator with Ice Maker (Fingerprint-Resistant Black Stainless Steel) ENERGY STAR,1392377,RF22R7551SG,https://www.lowes.com/pd/Samsung-Family-Hub-Family-Hub-22-cu-ft-4-Door-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Black-Stainless-Steel-ENERGY-STAR/1000948612,['French Door Refrigerators']
54,54,Cafe ,Smart 27.8-cu ft 4-Door French Door Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,1596859,CVE28DP2NS1,https://www.lowes.com/pd/Cafe-Smart-27-8-cu-ft-4-Door-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1001167486,['French Door Refrigerators']
55,55,LG ,Craft Ice Smart Wi-Fi Enabled 29.7-cu ft French Door Refrigerator with Dual Ice Maker and Door within Door (Fingerprint-Resistant Stainless Steel) ENERGY STAR,1697390,LRFDS3016S,https://www.lowes.com/pd/LG-Craft-Ice-Smart-Wi-Fi-Enabled-29-7-cu-ft-French-Door-Refrigerator-with-Dual-Ice-Maker-and-Door-within-Door-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1002543660,['French Door Refrigerators']
56,56,LG ,Smart Wi-Fi Enabled 23.5-cu ft Counter-Depth French Door Refrigerator with Dual Ice Maker and Door within Door (Fingerprint-Resistant Stainless Steel) ENERGY STAR,2610282,LRFDC2406S,https://www.lowes.com/pd/LG-Smart-Wi-Fi-Enabled-15-4-cu-ft-French-Door-Refrigerator-with-Ice-Maker-with-and-Door-within-Door-PrintProof-Stainless-Steel-ENERGY-STAR/1002951166,['French Door Refrigerators']
57,57,LG ,InstaView Smart Wi-Fi Enabled 27.6-cu ft 4-Door French Door Refrigerator with Ice Maker and Door within Door (Fingerprint-Resistant Black Stainless Steel) ENERGY STAR,1296071,LMXS28596D,https://www.lowes.com/pd/LG-InstaView-Smart-Wi-Fi-Enabled-27-6-cu-ft-4-Door-French-Door-Refrigerator-with-Ice-Maker-and-Door-within-Door-Fingerprint-Resistant-Black-Stainless-Steel-ENERGY-STAR/1000853022,['French Door Refrigerators']
58,58,Samsung ,21.6-cu ft French Door Refrigerator with Ice Maker (Black Stainless Steel),772684,RF220NCTASG,https://www.lowes.com/pd/Samsung-21-6-cu-ft-French-Door-Refrigerator-with-Ice-Maker-Black-Stainless-Steel/1000332165,['French Door Refrigerators']
59,59,Bosch ,800 21-cu ft 4-Door Counter-depth French Door Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,1418796,B36CL80SNS,https://www.lowes.com/pd/Bosch-800-21-cu-ft-4-Door-Counter-depth-French-Door-Refr/1000973168,['French Door Refrigerators']
60,60,GE ,Profile 22.2-cu ft Counter-depth French Door Refrigerator with Ice Maker (Fingerprint-Resistant Black Slate) ENERGY STAR,1073620,PYE22KELDS,https://www.lowes.com/pd/GE-Profile-22-2-cu-ft-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Black-Slate-ENERGY-STAR/1000448013,['French Door Refrigerators']
61,61,Frigidaire ,Gallery 21.8-cu ft 4-Door Counter-depth French Door Refrigerator with Ice Maker (Smudge-Proof Stainless Steel) ENERGY STAR,1228890,FG4H2272UF,https://www.lowes.com/pd/Frigidaire-Gallery-21-8-cu-ft-4-Door-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Smudge-Proof-Stainless-Steel-ENERGY-STAR/1001287752,['French Door Refrigerators']
62,62,Samsung ,Food Showcase 27.8-cu ft French Door Refrigerator with Ice Maker and Door within Door (Fingerprint-Resistant Black Stainless Steel) ENERGY STAR,1357334,RF28R6301SG,https://www.lowes.com/pd/Samsung-Food-Showcase-27-8-cu-ft-French-Door-Refrigerator-with-Ice-Maker-and-Door-within-Door-Fingerprint-Resistant-Black-Stainless-Steel-ENERGY-STAR/1000969474,['French Door Refrigerators']
63,63,Bosch ,800 21-cu ft Counter-depth French Door Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,1424451,B36CT80SNS,https://www.lowes.com/pd/Bosch-800-21-cu-ft-Counter-depth-French-Door-Refrigerato/1000977912,['French Door Refrigerators']
64,64,Samsung ,28-cu ft 4-Door French Door Refrigerator with Ice Maker (Fingerprint-Resistant Black Stainless Steel) ENERGY STAR,1295699,RF28R7201SG,https://www.lowes.com/pd/Samsung-28-cu-ft-4-Door-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Black-Stainless-Steel-ENERGY-STAR/1000864002,['French Door Refrigerators']
65,65,Bosch ,800 21-cu ft Counter-depth French Door Refrigerator with Ice Maker (Fingerprint-Resistant Black Stainless Steel) ENERGY STAR,1296196,B36CT80SNB,https://www.lowes.com/pd/Bosch-800-21-cu-ft-Counter-depth-French-Door-Refrigerato/1001090120,['French Door Refrigerators']
66,66,GE ,23.1-cu ft Counter-Depth French Door Refrigerator with Ice Maker (Fingerprint-Resistant Black Slate) ENERGY STAR,2443310,GWE23GENDS,https://www.lowes.com/pd/GE-23-1-cu-ft-Counter-Depth-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Black-Slate-ENERGY-STAR/1002619184,['French Door Refrigerators']
67,67,Haier ,15-cu ft 4-Door Counter-depth French Door Refrigerator (Stainless Steel),842272,HRF15N3AGS,https://www.lowes.com/pd/Haier-15-cu-ft-4-Door-Counter-depth-French-Door-Refrigerator-Stainless-Steel/1000183553,['French Door Refrigerators']
68,68,LG ,Smart Wi-Fi Enabled 22.1-cu ft Counter-depth French Door Refrigerator with Dual Ice Maker (Fingerprint-Resistant Black Stainless Steel) ENERGY STAR,1163548,LFXC22526D,https://www.lowes.com/pd/LG-Smart-Wi-Fi-Enabled-22-1-cu-ft-Counter-depth-French-Door-Refrigerator-with-Dual-Ice-Maker-Fingerprint-Resistant-Black-Stainless-Steel-ENERGY-STAR/1000565689,['French Door Refrigerators']
69,69,LG ,24.5-cu ft French Door Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,1418791,LRFXS2503S,https://www.lowes.com/pd/LG-24-5-cu-ft-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1001042224,['French Door Refrigerators']
70,70,GE ,27.8-cu ft French Door Refrigerator with Ice Maker (Stainless Steel) ENERGY STAR,786385,GFE28GSKSS,https://www.lowes.com/pd/GE-27-8-cu-ft-French-Door-Refrigerator-with-Ice-Maker-Stainless-Steel-ENERGY-STAR/1000048177,['French Door Refrigerators']
71,71,Fisher & Paykel ,16.9-cu ft Counter-Depth French Door Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel),2417901,RF170ADJSX4,https://www.lowes.com/pd/Fisher-Paykel-12-1-cu-ft-French-Door-Refrigerator-with-Ice-Maker-Stainless-steel/1002839388,['French Door Refrigerators']
72,72,Samsung,27-cu ft French Door Refrigerator with Dual Ice Maker (Fingerprint-Resistant Black Stainless Steel) ENERGY STAR,1697394,RF27T5241SG,https://www.lowes.com/pd/Samsung-27-cu-ft-French-Door-Refrigerator-with-Dual-Ice-Maker-Fingerprint-Resistant-Black-Stainless-Steel-ENERGY-STAR/1002683240,['French Door Refrigerators']
73,73,Fisher & Paykel,4 16.9-cu ft Counter-Depth French Door Refrigerator (Fingerprint-Resistant Stainless Steel),1034292,RF170ADX4 N,https://www.lowes.com/pd/Fisher-Paykel-4-16-9-cu-ft-Counter-depth-French-Door-Refrigerator-Fingerprint-Resistant-Ezkleen-Stainless-Steel/1000609379,['French Door Refrigerators']
